1,RA2,INPUT
2,RA3,INPUT
3,T0CKI,INPUT
4,MCLR,INPUT
5,VSS,POWER
6,INT,OUTPUT
7,RB1,OUTPUT
8,RB2,OUTPUT
9,RB3,OUTPUT
10,RB4,OUTPUT
11,RB5,OUTPUT
12,RB6,OUTPUT
13,RB7,OUTPUT
14,VDD,POWER
15,CLKOUT,INPUT
16,CLKIN,INPUT
17,RA0,INPUT
18,RA1,INPUT
